date,sm_rootzone,sm_surface
2016-01-01,0.256465345621109,0.2628663778305053
2016-01-02,0.257249116897583,0.2649385035037994
2016-01-03,0.2564782202243805,0.260124534368515
2016-01-04,0.2600348591804504,0.2922903299331665
2016-01-05,0.2633626461029053,0.2790741920471191
2016-01-06,0.2651585340499878,0.2884568870067596
2016-01-07,0.2619984149932861,0.2699372768402099
2016-01-08,0.2631948292255401,0.2873294055461883
2016-01-09,0.2643755376338959,0.2595408856868744
2016-01-10,0.260467529296875,0.2505204081535339
2016-01-11,0.2606604099273681,0.2703857421875
2016-01-12,0.2717329561710357,0.2979555130004883
2016-01-13,0.275285929441452,0.2935311794281006
2016-01-14,0.2728099524974823,0.2804750502109527
2016-01-15,0.2750357985496521,0.298648327589035
2016-01-16,0.2721246182918548,0.2737604975700378
2016-01-17,0.2741541862487793,0.2977237105369568
2016-01-18,0.2735013663768768,0.2834738194942474
2016-01-19,0.280247300863266,0.3054604530334472
2016-01-20,0.2789986133575439,0.2939524352550506
2016-01-21,0.2738023102283478,0.2711342275142669
2016-01-22,0.2715359628200531,0.2732733488082886
2016-01-23,0.2732670605182647,0.2920972108840942
2016-01-24,0.2842133343219757,0.3181995749473572
2016-01-25,0.2883226275444031,0.2976114749908447
2016-01-26,0.2838478684425354,0.2859362363815307
2016-01-27,0.2797051668167114,0.279618501663208
2016-01-28,0.2790043652057647,0.2776653170585632
2016-01-29,0.2752842307090759,0.255983293056488
2016-01-30,0.2733311057090759,0.264257401227951
2016-01-31,0.2716177105903625,0.2609734535217285
2016-02-01,0.2713597416877746,0.2666860520839691
2016-02-02,0.2686777710914612,0.2479346096515655
2016-02-03,0.2674257159233093,0.2417925149202346
2016-02-04,0.2661894559860229,0.2378924489021301
2016-02-05,0.2669918239116668,0.2573039531707763
2016-02-06,0.2774275243282318,0.3120498359203338
2016-02-07,0.2894175052642822,0.3001628816127777
2016-02-08,0.3079437613487243,0.3443532288074493
2016-02-09,0.3077356219291687,0.3111981749534607
2016-02-10,0.3076702654361725,0.3257550001144409
2016-02-11,0.3084214329719543,0.3205792307853699
2016-02-12,0.310261607170105,0.3378865420818329
2016-02-13,0.3210579454898834,0.3114298582077026
2016-02-14,0.3104171752929687,0.3089622855186462
2016-02-15,0.3157185316085815,0.3266657590866089
2016-02-16,0.3120298087596893,0.3318367302417755
2016-02-17,0.3112891912460327,0.3205337524414062
