DATE,CITY,FLOOD
2024-01-05,Kota Adm. Jakarta Selatan,True
2024-01-04,Pandeglang,True
2023-12-31,Bandung,True
2023-12-31,Bogor,True
2023-12-25,Bandung,True
2023-12-03,Bogor,True
2023-12-02,Bogor,True
2023-12-01,Bandung Barat,True
2023-11-30,Kota Adm. Jakarta Selatan,True
2023-11-30,Kota Adm. Jakarta Timur,True
2023-11-29,Bogor,True
2023-11-26,Bogor,True
2023-11-26,Bandung,True
2023-11-24,Bogor,True
2023-11-12,Bogor,True
2023-09-08,Bogor,True
2023-07-25,Bogor,True
2023-07-08,Bogor,True
2023-07-07,Bogor,True
2023-07-07,Kota Bogor,True
2023-06-29,Bogor,True
2023-06-27,Bogor,True
2023-06-19,Bogor,True
2023-05-09,Bandung,True
2023-05-07,Kota Adm. Jakarta Timur,True
2023-05-06,Bandung,True
2023-05-04,Bogor,True
2023-05-03,Bogor,True
2023-05-03,Bogor,True
2023-05-03,Kota Semarang,True
2023-05-03,Bandung,True
2023-04-30,Bogor,True
2023-04-30,Bogor,True
2023-04-27,Bandung,True
2023-04-26,Bandung,True
2023-04-24,Bogor,True
2023-04-19,Kota Bogor,True
2023-04-12,Bandung,True
2023-03-27,Semarang,True
2023-03-26,Bogor,True
2023-03-26,Bandung,True
2023-03-24,Bogor,True
2023-03-24,Bogor,True
2023-03-23,Bandung,True
2023-03-20,Bandung,True
2023-03-19,Bogor,True
2023-03-17,Bogor,True
2023-03-17,Bandung,True
2023-03-15,Kota Adm. Jakarta Selatan,True
2023-03-14,Kota Bogor,True
2023-03-14,Bogor,True
2023-03-13,Bogor,True
2023-03-02,Kota Adm. Jakarta Barat,True
2023-03-02,Kota Semarang,True
2023-02-27,Kota Adm. Jakarta Timur,True
2023-02-27,Kota Adm. Jakarta Barat,True
2023-02-20,Kota Semarang,True
2023-02-18,Kota Semarang,True
2023-01-31,Kota Semarang,True
2023-01-19,Semarang,True
2023-01-06,Kota Semarang,True
2023-01-04,Semarang,True
2023-01-03,Pandeglang,True
2023-01-01,Kota Adm. Jakarta Utara,True
2023-01-01,Bandung,True
2022-12-31,Kota Semarang,True
2022-12-30,Pandeglang,True
2022-12-29,Kota Semarang,True
2022-12-28,Pandeglang,True
2022-12-27,Pandeglang,True
2022-12-16,Kota Adm. Jakarta Selatan,True
2022-12-16,Kota Semarang,True
2022-12-08,Bandung,True
